Номер купона,Дата выплаты,КД,Текущая цена,Остаток на счете,Оценочная стоимость,Всего бумаг,Докупили,Комиссия,Налог
0,10 07 2025,0,1057.8,64.48319999999876,30000.0,0,28,59.236799999999995,0
1,27 07 2025,552.44,1057.8,616.9231999999988,30235.323199999995,28,0,0.0,71.81720000000001
2,26 08 2025,572.17,1056.5702127659574,110.67984680850964,30751.216017021277,29,1,2.113140425531915,74.3821
3,25 09 2025,572.17,1055.340425531915,682.8498468085096,31287.72218723404,29,0,0.0,74.3821
4,25 10 2025,591.9,1054.1106382978724,198.8009872340415,31822.12013617021,30,1,2.108221276595745,76.947
5,24 11 2025,591.9,1052.8808510638298,790.7009872340415,32377.126519148936,30,0,0.0,76.947
6,24 12 2025,611.63,1051.6510638297873,328.84662127659453,32930.0296,31,1,2.1033021276595747,79.5119
7,23 01 2026,611.63,1050.4212765957445,940.4766212765945,33503.53619574467,31,0,0.0,79.5119
8,22 02 2026,631.36,1049.191489361702,500.81674893616923,34074.94440851063,32,1,2.098382978723404,82.0768
9,24 03 2026,651.09,1047.9617021276595,82.11912340425442,34664.855293617016,33,1,2.095923404255319,84.6417
10,23 04 2026,651.09,1046.731914893617,733.2091234042545,35275.36231489361,33,0,0.0,84.6417
11,23 05 2026,670.82,1045.5021276595744,336.70599148936094,35883.77833191489,34,1,2.091004255319149,87.20660000000001
12,22 06 2026,670.82,1044.2723404255319,1007.525991489361,36512.78556595744,34,0,0.0,87.20660000000001
13,22 07 2026,690.5500000000001,1043.0425531914893,633.2173531914887,37139.70671489362,35,1,2.0860851063829786,89.77150000000002
14,21 08 2026,710.28,1041.8127659574468,279.87096170212703,37785.13053617022,36,1,2.0836255319148935,92.3364
15,20 09 2026,710.28,1040.5829787234043,990.150961702127,38451.13819574468,36,0,0.0,92.3364
16,20 10 2026,730.01,1039.3531914893617,658.9990638297866,39115.06714893617,37,1,2.0787063829787233,94.9013
17,19 11 2026,749.74,1038.1234042553192,348.8094127659567,39797.498774468084,38,1,2.0762468085106383,97.4662
18,19 12 2026,769.47,1036.8936170212767,59.58200851063748,40498.43307234043,39,1,2.073787234042553,100.03110000000001
19,18 01 2027,769.47,1035.663829787234,829.0520085106375,41219.941370212764,39,0,0.0,100.03110000000001
20,17 02 2027,789.2,1034.4340425531914,562.0190978723397,41939.3808,40,1,2.068868085106383,102.596
21,19 03 2027,808.9300000000001,1033.2042553191488,315.94843404255266,42677.32290212766,41,1,2.066408510638298,105.16090000000001
22,18 04 2027,828.66,1031.9744680851063,90.84001702127625,43433.767676595744,42,1,2.063948936170213,107.72579999999999
23,18 05 2027,828.66,1030.7446808510638,919.5000170212762,44210.77661276595,42,0,0.0,107.72579999999999
24,17 06 2027,848.39,1029.5148936170212,716.5860936170209,44985.726519148935,43,1,2.0590297872340426,110.2907
25,17 07 2027,868.12,1028.2851063829787,534.6344170212762,45779.17909787234,44,1,2.0565702127659575,112.85560000000001
26,16 08 2027,887.85,1027.0553191489362,373.6449872340422,46591.134348936175,45,1,2.0541106382978724,115.4205
27,15 09 2027,907.58,1025.8255319148936,233.6178042553188,47421.59227234043,46,1,2.0516510638297873,117.98540000000001
28,15 10 2027,927.3100000000001,1024.595744680851,114.55286808510596,48270.552868085106,47,1,2.0491914893617023,120.55030000000001
29,14 11 2027,947.04,1023.3659574468085,16.45017872340395,49138.01613617021,48,1,2.046731914893617,123.1152
30,14 12 2027,947.04,1022.1361702127659,963.4901787234039,50026.02634893617,48,0,0.0,123.1152
31,13 01 2028,966.77,1020.9063829787234,887.581982978723,50911.994748936166,49,1,2.041812765957447,125.6801
32,12 02 2028,986.5,1019.6765957446809,832.6360340425526,51816.46582127659,50,1,2.039353191489362,128.245
33,13 03 2028,1006.23,1018.4468085106383,798.652331914893,52739.439565957444,51,1,2.036893617021277,130.8099
34,12 04 2028,1025.96,1017.2170212765957,785.6308765957441,53680.91598297872,52,1,2.0344340425531913,133.37480000000002
35,12 05 2028,1045.69,1015.9872340425532,793.571668085106,54640.89507234042,53,1,2.031974468085106,135.93970000000002
36,11 06 2028,1065.42,1014.7574468085106,822.4747063829784,55619.37683404255,54,1,2.029514893617021,138.5046
37,11 07 2028,1085.15,1013.5276595744681,872.3399914893614,56616.36126808511,55,1,2.0270553191489364,141.0695
38,10 08 2028,1104.88,1012.2978723404256,943.1675234042551,57631.848374468085,56,1,2.0245957446808514,143.63440000000003
39,09 09 2028,1144.34,1011.068085106383,21.86708085106352,58663.81601702128,58,2,4.0442723404255325,148.7642
40,09 10 2028,1164.07,1009.8382978723404,154.34910638297833,59734.80868085106,59,1,2.0196765957446807,151.3291
41,08 11 2028,1183.8,1008.6085106382978,307.79337872340386,60824.30401702128,60,1,2.0172170212765956,153.894
42,08 12 2028,1203.53,1007.3787234042553,482.1998978723401,61932.30202553191,61,1,2.0147574468085105,156.4589
43,07 01 2029,1223.26,1006.1489361702128,677.5686638297869,63058.80270638298,62,1,2.0122978723404255,159.0238
44,06 02 2029,1242.99,1004.9191489361702,893.8996765957443,64203.80605957447,63,1,2.0098382978723404,161.58870000000002
45,08 03 2029,1282.45,1003.6893617021276,125.49619574468056,65365.30470638297,65,2,4.0147574468085105,166.7185
46,07 04 2029,1302.18,1002.4595744680851,403.48170212765933,66565.81361702127,66,1,2.00491914893617,169.2834
47,07 05 2029,1321.91,1001.2297872340425,702.4294553191487,67784.82519999999,67,1,2.002459574468085,171.84830000000002
48,06 06 2029,1361.3700000000001,1000.0,20.339455319148783,69020.33945531915,69,2,4.0,176.9781
ИТОГИ,,,,,69020.33945531915,,,143.1675659574468,
Доход за всё время,,,,,130.0677981843972,,,,
Процентов годовых,,,,,23.771565406638295,,,,
После вычета НДФЛ,,,,,63947.69532612766,,,,
Доход после НДФЛ,,,,,113.15898442042554,,,,
Годовых после НДФЛ,,,,,21.37667159350487,,,,
